"autonomous_system_number";"autonomous_system_organization"
12837;"PJSC Starokievsky bank"
12840;"ATP"
12841;"Veltrade LLC"
12842;"Internet Oltenia SRL"
12843;"TelemaxX Telekommunikation GmbH"
12846;"PJSC Rostelecom"
12847;"Latvian Mobile Telephone Co."
12849;"Hot-Net internet services Ltd."
12850;"ENTER S.r.l."
12853;"InfraServ Gendorf"
12859;"BIT BV"
12861;"Vestel Elektronik Sanayi ve Ticaret A.S."
12870;"Arrowhead Systems Ltd"
12871;"KPN B.V."
12872;"MegaStyle-Service"
12873;"Strateji Menkul Degerler A.S."
12874;"Fastweb"
12876;"Online S.a.s."
12877;"Raiffeisen Bank Polska S.A."
12878;"COLT Technology Services Group Limited"
12879;"Joint Stock Company Svyaztransneft"
12880;"Information Technology Company (ITC)"
12883;"Private Joint-stock Company farlep-invest"
12884;"DRW Investments (UK) Limited"
12886;"LEW TelNet GmbH"
12888;"Amadeus Data Processing GmbH"
12891;"Genel Kurmay Baskanligi"
12895;"s IT Solutions AT Spardat GmbH"
12897;"ENTEGA Medianet GmbH"
12898;"Hees riconet GmbH"
12902;"Luna.nl B.V."
12903;"Garanti Bilisim Teknolojisi ve Ticaret T.A.S."
12905;"ACS spol. s r. o."
12906;"Deltatre S.p.A."
12907;"ip&more GmbH"
12908;"Sabanci University"
12910;""
12912;"T-mobile Polska Spolka Akcyjna"
12915;"EPAG Domainservices GmbH"
12917;"GlobalLogic Slovakia s.r.o."
12921;"OJSC TC Arteks"
12922;"Cedacri S.p.A."
12923;"Wizard Computersysteme GmbH"
12924;"Nethits Telecom Solutions S.L."
12925;"SINP MSU"
12926;"AR TELECOM - Acessos e Redes de Telecomunicacoes, S.A."
12928;"Banque Cantonale Vaudoise Enterprise Droit Public"
12929;"Telia Norge As"
12930;"card complete Service Bank AG"
12931;"IDKOM Networks GmbH"
12935;"QD Sverige AB"
12938;"Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry Russian Academy of Sciences"
12939;"Hanse Holding AB"
12941;"intersaar GmbH"
12942;"Network Research Belgium"
12945;"Gamepoint B.V."
12946;"Telecable de Asturias,SA"
12952;"Knowledge Path for Information Technology and General Trading Ltd"
12954;"SIA S.p.A."
12956;"TELEFONICA Telefonica Wholesale Network"
12958;"T2 Mobile LLC"
12961;"Internet Telecom SRL"
12962;"First Investment Bank AD"
12963;"Scientific -Industrial Firm Volz Ltd"
12964;"Dr. Buelow & Masiak GmbH"
12965;"AS SEB banka"
12966;"Polskie Linie Lotnicze LOT S.A."
12969;"Fjarskipti ehf"
12971;"Internet Viennaweb Service GmbH"
12975;"Palestine Telecommunications Company (PALTEL)"
12976;"CITIC Telecom CPC Rus LLC"
12978;"Dogan Tv Digital Platform Isletmeciligi A.s"
12979;"CJSC Transinfoset"
12980;"AT&T Global Network Services Nederland B.V."
12982;"Bulinfo Ltd"
12984;"PilsFree, z. s."
12985;"TVK WSM - Wielunska Spoldzielnia Mieszkaniowa w Wieluniu"
12986;"Ukrspetskom LLC."
12988;"The Phoenix Insurance Company Ltd"
12989;"StackPath LLC"
12990;"Grupa Onet.pl S.A."
12991;"Amt der OOe Landesregierung"
12992;"Proszynski Media sp. z o.o."
12993;"SIA Digitalas Ekonomikas Attistibas Centrs"
12996;"Domeneshop AS"
12997;"OJSC Kyrgyztelecom"
12998;"BGNet LTD"
12999;"State Educational institution for High professional education 'Far Eastern State University'"
13000;"Leon Sp. z o.o."
13001;"A B 2 R Sarl"
13002;"Linkey Ltd"
13003;"Webmatic Kommunikations GmbH"
13004;"Serbian Open Exchange DOO"
13005;"Atlas Business Group Ltd"
13006;"DID Logic Limited"
13009;"VData Ltd"
13010;"MTS Internet GmbH"
13011;"RA Monitorul Oficial"
13012;"Genias Internet"
13016;"Teleline Ltd."
13018;"Banca Monte Dei Paschi Di Siena S.P.A."
13021;"Arexim S.A."
13022;"Streams Telecommunicationsservices GmbH"
13023;"Weber Ltd"
13026;"Manuel Kahr"
13027;"Ukrainian National News Agency UKRINFORM"
13029;"Ministry of Information Policy and Mass Communications of the Chuvash Republic"
13030;"Init7 (Switzerland) Ltd."
13031;"arago Institut fuer komplexes Datenmanagement AG"
13032;"Kyiv National Taras Shevchenko University"
13034;"Pagesjaunes SA"
13035;"IP Telecom ltd."
13036;"T-Mobile Czech Republic a.s."
13037;"Zen Internet Ltd"
13038;"Hellenic Exchanges S.A. Holding, Clearing, Settlement & Registration"
13039;"Global Village GmbH"
13040;"FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH"
13041;"Consorci de Serveis Universitaris de Catalunya"
13042;"Oesterreichische Nationalbank"
13043;"Bayer Business Services GmbH"
13044;"Aoun.net s.a.r.l"
13045;"htp GmbH"
13046;"ISKON INTERNET d.d. za informatiku i telekomunikacije"
13053;"JSC Priocom"
13054;"FreiNet Gesellschaft fuer Informationsdienste mbH"
13055;"JSC Comstar-Regions"
13056;"PJSC Rostelecom"
13059;"Extreme Solutions SRL"
13060;"Basic Net SpA"
13062;"MTS PJSC"
13063;"SKF Sverige AB"
13064;"CNet Fugger Computertechnik GesmbH"
13065;"Uniwersytet Zielonogorski"
13068;"Wiener Borse AG"
13069;"Broadnet AS"
13070;"SIA Electronic Solutions"
13073;"Media Information Center LTD"
13074;"Teletel Communication Channels Ltd"
13075;"CJSC Megalabs"
13077;"Educational Institution of the Higher Professional Education North-Caucasus State Technical"
13078;"Computer Technologies Institute,ltd"
13079;"Zond Holding JSC"
13082;"2DAY Telecom LLP"
13085;"Banca Comerciala Carpatica SA"
13089;"UniCredit Business Integrated Solutions S.C.p.A."
13091;"JP Posta Srbije Beograd"
13092;"Akademska mreza Republike Srbije - AMRES"
13093;"Haaretz Daily Newspaper Ltd."
13094;"LLC Milecom"
13095;"PVimpelCom"
13097;"Telemar s.p.a."
13099;"AzEuroTel J.V."
13101;"ennit server GmbH"
13102;"Istanbul Bilgi Universitesi"
13103;"Volia"
13105;"LUKOIL Technology Services GmbH"
13106;"Don Apex Ltd"
13107;"PIK Ltd"
13110;"INEA S.A."
13113;"ISI Line srl"
13114;"Nationwide Building Society"
13115;"Home of the Brave Internet Technology Based Solutions GmbH"
13116;"Tele2 SWIPnet"
13117;"Nexusguard, Inc"
13118;"PJSC Rostelecom"
13119;"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, Akademickie Centrum Informatyki"
13120;"BEC Bankernes EDB Central"
13121;"Navigator Online TOV"
13122;"Manx Telecom"
13124;"Mobiltel Ead"
13126;"Satellite Mediaport Services Ltd."
13127;"Tele 2 Nederland B.V."
13128;"IT-Dienstleistungszentrum Berlin"
13130;"Autostadt GmbH"
13132;"cyberways Informationsdienste GmbH"
13134;"Instituto de Informatica, IP - Ministerio da Solidariedade e Seguranca Social"
13135;"Wieske's Crew GmbH"
13136;"Interstroom Informatietechnologie BV"
13137;"Agencia Efe SA"
13138;"Turk Ekonomi Bankasi Anonim Sirketi"
13147;"NetInfo.BG JSCo"
13148;"POET Service GmbH"
13150;"Cato Networks Ltd"
13153;"Singularlogic Integrator SA"
13154;"RZZ Rechenzentrum AG"
13155;"MTS PJSC"
13156;"Nowo Communications, S.A."
13157;"GOPAS Solutions GmbH"
13160;"Emmelibri S.r.l."
13165;"Siberian Internet Company LLC"
13167;"Merck KGaA"
13168;"Banco Mare Nostrum SA"
13169;"ABN AMRO Bank N.V."
13170;"Kaisanet Oy"
13171;"Belarusian State University"
13172;"Electroenergien Sistemen Operator EAD"
13173;"Foreshore Limited"
13174;"MTS PJSC"
13178;"LLC Real-net"
13180;"Cedacri S.p.A."
13181;"Institutul de Studii si Proiectari Energetice SA"
13182;"Made Network Srl"
13183;"Intesa Sanpaolo Group Services S.c.p.A."
13185;"FSBE Institution of HE I.S. TURGENEV Orlovsky STATE UNIVERSITY"
13187;"Rhein Chemie Rheinau GmbH"
13188;"Content Delivery Network Ltd"
13189;"Liden Data Internetwork AB"
13190;"Cryptoshell AG"
13192;"dFactory Sarl."
13193;"Nerim SAS"
13194;"UAB Bite Lietuva"
13199;"Jaroslav Doubrava"
13200;"Banco BPI SA"
13202;"Production Company POLISAN Ltd."
13204;"Tera Menkul Degerler A.s."
13205;"British Telecommunications PLC"
13208;"Newtel Limited"
13209;"Atom Hosting SRL"
13210;"Academia De Studii Economice"
13213;"UK-2 Limited"
13214;"Hans Fredrik Lennart Neij"
13215;"CJSC TK Convey Plus"
13216;"Itex Guernsey Ltd"
13223;"Conseil De L Europe"
13224;"NAIROBINET"
13225;"Renaissance Capital Financial Consultant OOO"
13226;"Cybernet SA"
13227;"Kraft-S LLC"
13230;"Avantel, Close Joint Stock Company"
13231;"Baharan PLC"
13232;"Portigon AG"
13233;"21TORR GmbH"
13236;"Datacom Ltd"
13237;"euNetworks Managed Services GmbH"
13238;"YANDEX LLC"
13240;"TRENDLINE INFORMATION and COMMUNICATION SERVICES LTD"
13242;"Latvijas Lauksaimniecibas Universitate"
13243;"Evry Norge As"
13244;"Rietumu banka AS"
13245;"Foltron LP"
13246;"InterNetWire Communications GmbH"
13247;"Erdenreich Datentechnik GmbH"
13249;"IT Systems LLC"
13250;"Backbone Solutions AG"
13251;"It-Netservice GmbH"
13253;"Intesa Sanpaolo Group Services S.c.p.A."
13254;"Arnoldo Mondadori Editore SpA"
13257;"PVimpelCom"
13259;"Delta Telesystems Ltd."
13260;"SKUBA, UAB"
13261;"Cognizant Business Services GmbH"
13266;"Havenbedrijf Rotterdam n.v."
13267;"Zuercher Kantonalbank"
13272;"Starman AS"
13273;"Smile S.A."
13274;"mBank SA"
13278;"Tei(tusas Motor Sanayi A.s.)"
13280;"Three Ireland (Hutchison) limited"
13281;"TOV Hotel Management"
13283;"Bank Julius Baer & Co. AG"
13284;"Playnet S.R.L."
13285;"TalkTalk"
13287;"Servicleop Sl"
13289;"iWelt AG"
13292;"Willibald Hambammer trading as BK-DAT Electronics e.U."
13293;"Institute of Bioorganic Chemistry Polish Academy of Science, Poznan Supercomputing and Netwo"
13296;"Innovative Solutions Ltd"
13298;"SOS-Kinderdorf International"
13303;"University of Nis"
13306;"Unics EOOD"
13307;"SKIF ISP Ltd."
13313;"Barnes & Noble Inc."
13314;"Toyota Motor Engineering and Manufacturing North America, Inc."
13315;"Harvard Business School"
13316;"SES Sistemas Electrónicos S.A."
13317;"AT&T Services, Inc."
13319;"Storm Internet Services"
13322;"Fidelity Investments"
13323;"Fidelity Investments"
13324;"Executive Personal Computers Inc."
13325;"State of Michigan, DMB-CNOC"
13326;"Tufts University"
13327;"Eastern Kentucky University"
13329;"Kansas Fiber Network, LLC"
13330;"First American Real Estate Solutions"
13331;"MetaPeer"
13332;"Hype Enterprises"
13333;"Consolidated Communications, Inc."
13334;"Marketing Systems Group"
13335;"Cloudflare Inc"
13336;"Westar Energy, Inc."
13337;"Wisconsin Internet, Inc."
13339;"Amaya Gaming Group Inc"
13341;"Tranquility Internet Services Inc."
13342;"Trenton TV Cable Company"
13343;"Time Warner Cable Internet LLC"
13344;"NetEx Inc."
13345;"Rockynet.com, Inc"
13346;"Centurion Medical Products Corporation"
13348;"CIGNA"
13349;"TEACHERS CREDIT UNION"
13351;"Barbourville Utility Commission"
13352;"Mark G. Thomas Consulting"
13353;"Telmex do Brasil Ltda."
13354;"zColo"
13357;"Irati Telecomunicações Ltda."
13358;"DIGITAL RAZOR, INC"
13359;"North Texas GigaPOP"
13360;"Triton Digital"
13361;"American Computer Group, Inc."
13362;"PCWorld.com"
13363;"ALLEN SYSTEMS GROUP, Inc."
13364;"Jive Software Inc."
13365;"THL Credit Advisors, LLC"
13366;"Calfee, Halter & Griswold, LLP"
13367;"Comcast Cable Communications, LLC"
13368;"James Cable, LLC"
13370;"LocalTel Communications"
13371;"Duke University"
13372;"Federated Investors"
13374;"D'Youville College"
13375;"Payless ShoeSource, Inc."
13376;"Merrill Communications LLC"
13377;"DC WIRELESS ISP INC"
13379;"Disney Worldwide Services, Inc."
13380;"Zix Corporation"
13381;"CMET SACI"
13382;"Business Solutions Group, LLC"
13383;"Information Builders"
13384;"SecureNet LLC"
13385;"Comcast Cable Communications, LLC"
13387;"Media General, Inc."
13388;"Egyptian Telephone"
13389;"AZUKI, LLC"
13391;"United Network for Organ Sharing"
13392;"Region 18 Education Service Center"
13393;"KC Scout - Kansas City ITS Deployment"
13395;"Smart City Networks, L.P."
13396;"LANSING BOARD OF WATER AND LIGHT"
13400;"Chernoff Diamond and Company"
13401;"Marriott International, Inc."
13404;"GoFIBER"
13405;"Sprint"
13406;"State College of Florida, Manatee-Sarasota"
13409;"PORTLAND INTERNETWORKS"
13410;"Microstrategy, Inc."
13412;"Vulcan Northwest, Inc."
13413;"FastBytes Wireless, Inc."
13414;"Twitter Inc."
13415;"FirstDigital Communications, LLC"
13416;"R/Greenberg Associates"
13418;"CoBiz"
13423;"GALVESTON ISD"
13424;"Intercity"
13426;"Juno Online Services, Inc."
13427;"Softcom Internet Communications, Inc."
13428;"Surf Air Wireless, LLC"
13429;"Medical University of South Carolina"
13431;"Millennium Partners, L.P."
13433;"Cox Enterprises Inc"
13434;"CORVEL CORPORATION"
13435;"NOBLE AMERICAS CORP."
13438;"Vivio Technologies"
13439;"Smooth Fusion, Inc."
13440;"Operbes, S.A. de C.V."
13441;"Bank of Nova Scotia"
13443;"LinkedIn Corporation"
13444;"Cablevision Systems Corp."
13445;"Cisco Webex LLC"
13446;"Netzero,INC."
13447;"VIP Tour Company, Inc."
13448;"Forcepoint, LLC"
13450;"Touchnet Information Systems"
13451;"Saddle Mountain Wireless Inc."
13452;"Guggenheim Services LLC"
13454;"PENNSYLVANIA TURNPIKE COMMISSION"
13456;"City of Spokane"
13457;"Wolverine Power Supply"
13458;"Davidson Kempner Capital Management LLC"
13460;"EarthCam, Inc."
13462;"Institute of Electrical and Electronics Engineers"
13464;"Centerbridge Partners, L.P."
13466;"Muzak, LLC"
13468;"Kingston Online Services"
13470;"NAVAJO COUNTY - MIS"
13471;"PFS Web"
13472;"Alnylam Pharmaceuticals, Inc."
13474;"Banco de Galicia y Buenos Aires"
13475;"UNIFY Financial Credit Union"
13476;"Montana State University"
13480;"Ongoing Operations, LLC"
13482;"Zweig-DiMenna Associates, LLC."
13483;"Infor (US) Inc"
13484;"3D EXHIBITS INC"
13485;"Grand Canyon University"
13487;"Fujitsu Defense and National Security Corp."
13489;"EPM Telecomunicaciones S.A. E.S.P."
13490;"Buckeye Cablevision, Inc."
13491;"Florida State Board of Administration"
13492;"American Health Network"
13495;"NTT DO BRASIL TELECOMUNICACOES LTDA."
13496;"Belcan Corporation"
13499;"CentralColo, LLC"
13500;"NTT Security (US) Inc."
13501;"OARnet"
13505;"SANDATA Technologies Inc."
13506;"US Department of the Treasury"
13507;"Sears Holdings Corporation"
13508;"Baker Bros. Advisors, LLC"
13509;"Xerium Technologies, Inc."
13510;"Baystate Health, Inc."
13511;"Univision Communications Inc."
13512;"Monroe Telephone Co."
13515;"Palm Beach Atlantic University"
13516;"Cancer Treatment Centers of America, Inc."
13517;"Baker & McKenzie"
13518;"COMMUNICATIONS DESIGN ACQUISITION CORPORATION"
13520;"Signode Industrial Group LLC"
13522;"PUC PR CAMPUS CURITIBA"
13524;"Arrow Electronics"
13525;"The Computer Shop Netlink"
13526;"NTR Metals"
13530;"Dana Limited"
13532;"Need To Know News, LLC"
13533;"HotJobs.com, Ltd."
13534;"Ralls Technologies, LLC"
13535;"Ning, Inc."
13536;"Tech Valley Communications"
13537;"Mega Colocation, Inc."
13539;"Bastyr University"
13540;"AT&T Services, Inc."
13541;"Mentor Graphics Corporation"
13542;"Fiserv, Inc."
13543;"City of Cookeville"
13545;"Matthews International Capital Management, LLC"
13546;"Innovative Interfaces, Inc."
13547;"Porter Hospital"
13548;"College of Charleston"
13549;"Mercury Network Corporation"
13550;"CityNet Arizona LLC"
13552;"Cegep de Sainte-Foy"
13553;"CBS Interactive Inc."
13554;"Tenaska Power Services, Co."
13555;"EAGLE-Net Alliance"
13556;"IBASIS INC."
13557;"NetIn.com, Inc. Dallas Texas"
13558;"Church Mutual Insurance Company"
13559;"LoVullo Associates, Inc."
13561;"Lafarge Canada Inc."
13565;"THE ORVIS COMPANY, INC."
13567;"Kimberly-Clark Corporation"
13570;"Angelo, Gordon & Co., L.P."
13572;"Lahey Clinic, Inc."
13573;"MDU Ethernet Solutions"
13575;"Wisconsin Public Power, Inc."
13576;"SOUTH DAKOTA NETWORK"
13577;"LIVEOPS, INC."
13578;"MDAssociates, Inc."
13579;"INFOTEC Centro de Investigacion e Innovacion en Tecnologias de la Informacion y Comunicación"
13580;"Southern Network Services, L.L.C."
13581;"SHI International Corp."
13583;"Access Technology, Inc."
13585;"Power VT S.A."
13586;"Galco Industrial Electronics"
13588;"Paychex Incorporated"
13591;"Mexico Red de Telecomunicaciones, S. de R.L. de C.V."
13592;"Sidera Networks LLC"
13595;"Classic Residence Management Limited Partnership"
13596;"Rymax Corp"
13598;"Daimler Trucks North America LLC"
13599;"Eisai Inc."
13600;"Convo"
13604;"FLORIDA CABLE INC."
13605;"Maryland Emergency Management Agency"
13607;"Intuitive Surgical Operations, Inc."
13609;"Sybron Dental Specialties, Inc."
13610;"Provo Craft & Novelty, Inc."
13611;"U.S. Center For Disease Control and Prevention"
13612;"Sysmex"
13613;"LDS Business College"
13614;"All West Communications, Inc."
13615;"Heritage Valley Health System"
13617;"Freudenberg IT LP"
13618;"Carolina Internet, Ltd."
13620;"EMBLEMHEALTH SERVICES COMPANY, LLC"
13621;"Reinsurance Group of America"
13622;"Qwest Communications Company, LLC"
13623;"ISTOCKPHOTO INC."
13624;"Sierra Nevada Corporation"
13625;"CALGAH Computer Systems and Management Ltd"
13626;"Walgreens Co"
13628;"AMERISOURCEBERGEN"
13629;"Deem, Inc."
13630;"CSX Technology"
13631;"Citadel Investment Group, L.L.C."
13633;"OOCL (USA), Inc."
13635;"Fusion Media"
13636;"NEC Laboratories America, Inc."
13638;"Metalink Technologies, Inc."
13639;"ING Financial Services, LLC"
13641;"PDM Net"
13645;"BroadbandONE, Inc."
13647;"NetActuate, Inc"
13649;"ViaWest"
13650;"Axia Connect Ltd."
13651;"BUCKLAND TELEPHONE COMPANY"
13652;"HORIZON BLUE CROSS BLUE SHIELD OF NJ"
13653;"California Insurance Guarantee Association"
13654;"KC Web, Inc."
13655;"ReadyTalk"
13657;"Egate Networks Inc."
13658;"QUANTIL, INC"
13659;"InterTECH Corp"
13660;"Blue Cross Blue Shield of North Dakota"
13663;"MCI Communications Services, Inc. d/b/a Verizon Business"
13666;"MCI Communications Services, Inc. d/b/a Verizon Business"
13667;"MCI Communications Services, Inc. d/b/a Verizon Business"
13672;"FAIRPOINT COMMUNICATIONS, INC."
13673;"FAIRPOINT COMMUNICATIONS, INC."
13675;"FAIRPOINT COMMUNICATIONS, INC."
13676;"Imagination, Inc."
13678;"PaeTec Communications, Inc."
13679;"Centros Culturales de Mexico, A.C."
13682;"TELEFONICA MOVILES GUATEMALA S.A."
13683;"Auto-Wares Inc"
13684;"Medtronic, Incorporated"
13685;"Neways Worldwide Inc."
13686;"AEG"
13688;"Public Service Enterprise Group"
13689;"BlueLinx Corporation"
13690;"American Medical Response, Inc."
13691;"Metropolitan Community College"
13692;"Douglas FastNet"
13693;"NTS Communications"
13694;"Xecunet, LLC."
13695;"American Electirc Power Co."
13696;"NTT America, Inc."
13697;"Saber Healthcare Group LLC"
13698;"Shaw Industries Group, Inc."
13699;"SWF Associates in Podiatric Medicine & Surgery"
13700;"Millard Refrigerated Services, Inc"
13701;"Benchmark Electronics Inc."
13702;"Ingram Book Group"
13703;"Virtual Citadel Inc."
13704;"Cyberverse, Inc."
13706;"CompleteWeb.Net LLC"
13710;"Systems & Methods, Inc."
13712;"Saint Marys University of Minnesota"
13713;"Arcot Systems"
13715;"Upsher-Smith Laboratories Inc."
13716;"Hewitt Associates LLC"
13717;"Enerigizer Brands LLC"
13718;"SOLUS ALTERNATIVE ASSET MANAGEMENT LP"
13719;"ShoreTel Inc."
13720;"Daybreak Game Company LLC"
13722;"Default Route, LLC"
13723;"Western Digital Corporation"
13724;"Massachusetts Financial Services"
13725;"LogistiCare Solutions, LLC"
13726;"Atlanta Public Schools"
13727;"NEXT DIMENSION INC"
13728;"D&P Communications, Inc."
13729;"Fidessa Corporation"
13730;"Velocity Online, Inc."
13732;"Axispoint Inc"
13733;"Centre for Addiction and Mental Health"
13734;"Bee Sky Consulting Inc."
13735;"Cutter Associates, Inc."
13736;"Factual Data Corp"
13737;"Riverfront Internet Systems LLC"
13739;"Datacenter IP, LLC"
13740;"Hypernet Communications, Inc."
13742;"CENCOM INC"
13743;"Regulus Group"
13744;"TYNDALE HOUSE PUBLISHERS"
13745;"Ventus Networks, LLC"
13746;"AiTech"
13747;"DONEGAL MUTUAL INSURANCE"
13748;"Cold Spring Harbor Laboratory"
13750;"Transaction Network Services, Inc."
13752;"Valley Internet Company"
13753;"BHI Advanced Internet Inc."
13754;"TkFast Inc"
13755;"St. Petersburg College"
13757;"Blue diamond solutions inc"
13759;"Wilkes University"
13760;"Southern Light, LLC"
13762;"Hunter Douglas"
13764;"Kwantlen Polytechnic University"
13765;"Nedelco Inc."
13766;"Bradford Regional Medical Center"
13767;"DataBank Holdings, Ltd."
13768;"Cogeco Peer 1"
13771;"Digicel Cayman Limited"
13773;"Telnet Communications"
13774;"Corpbanca"
13775;"Mathbox Inc."
